"","source","target","flagBL","weight","generation"
"1",1,787,FALSE,0.397247478120388,1
"2",1,69,TRUE,0.510181341156591,1
"3",1,290,FALSE,0.338428407695014,1
"4",1,287,TRUE,0.491459693645723,1
"5",1,138,FALSE,0.337906800465948,1
"6",1,12,TRUE,0.523433485922047,1
"7",1,11,TRUE,0.422528514589173,1
"8",1,788,TRUE,0.335859627097299,1
"9",1,3,TRUE,0.481766332546368,1
"10",1,789,TRUE,0.375008414939551,1
"11",1,26,FALSE,0.428093507540326,1
"12",1,790,FALSE,0.278765002212938,1
"13",1,791,TRUE,0.347891356995779,1
"14",1,792,TRUE,0.25407290216816,1
"15",1,793,TRUE,0.257837749582745,1
"16",1,63,TRUE,0.554459656610774,1
"17",1,794,FALSE,0.5830160682533,1
"18",1,795,TRUE,0.456739103176185,1
"19",1,5,TRUE,0.610222550777925,1
"20",1,145,TRUE,0.456048098356691,1
"21",1,796,FALSE,0.337453115642103,1
"22",1,797,FALSE,0.35155132072252,1
"23",1,798,FALSE,0.399106822381926,1
"24",1,799,TRUE,0.548971042929996,1
"25",1,559,TRUE,0.211036582817016,1
"26",1,800,TRUE,0.308384678347502,1
"27",1,801,FALSE,0.504200935356429,1
"28",1,802,TRUE,0.39629326377179,1
"29",1,803,TRUE,0.306087716529146,1
"30",1,407,TRUE,0.355955941199004,1
"31",1,163,TRUE,0.32750335237831,1
"32",1,265,TRUE,0.336986112752799,1
"33",1,804,TRUE,0.210747481623874,1
"34",1,805,FALSE,0.321017792975691,1
"35",1,806,TRUE,0.33094127768701,1
"36",1,807,TRUE,0.397127329736242,1
"37",1,808,FALSE,0.359410594298782,1
"38",1,809,FALSE,0.379458947861956,1
"39",1,810,FALSE,0.305602385979108,1
"40",1,811,TRUE,0.360386424849312,1
"41",1,812,TRUE,0.284310507821759,1
"42",1,411,TRUE,0.368569693850475,1
"43",1,813,TRUE,0.393103576946853,1
"44",1,814,FALSE,0.261032949276792,1
"45",1,815,FALSE,0.225892978901362,1
"46",1,816,FALSE,0.23739285885798,1
"47",1,817,TRUE,0.233578928699694,1
"48",1,818,FALSE,0.157920778146388,1
